type,model_key,representation,scope,estimate_pp,ci95_low_pp,ci95_high_pp,p_value
delta,oss20b,T1500_KV,all,0.6,-2.4,3.6,
delta,oss20b,T1500_KV,price,-2.78,-7.14,1.59,
delta,oss20b,T1500_KV,attribute,4.03,0.0,8.06,
delta,oss20b,T1500_VERB,all,-1.8,-5.0,1.6,
delta,oss20b,T1500_VERB,price,-4.76,-9.52,0.0,
delta,oss20b,T1500_VERB,attribute,1.21,-3.23,5.65,
delta,gemma12b,T1500_KV,all,-1.6,-4.4,1.2,
interaction_vs_oss,gemma12b,T1500_KV,all,-2.2,-6.4,2.0,0.3222
delta,gemma12b,T1500_KV,price,-2.38,-7.14,1.98,
interaction_vs_oss,gemma12b,T1500_KV,price,0.4,-5.95,6.75,0.9504
delta,gemma12b,T1500_KV,attribute,-0.81,-4.03,2.42,
interaction_vs_oss,gemma12b,T1500_KV,attribute,-4.84,-10.08,0.4,0.0857
delta,gemma12b,T1500_VERB,all,-1.0,-3.8,1.8,
interaction_vs_oss,gemma12b,T1500_VERB,all,0.8,-3.6,5.2,0.7545
delta,gemma12b,T1500_VERB,price,-0.79,-5.16,3.57,
interaction_vs_oss,gemma12b,T1500_VERB,price,3.97,-2.38,10.71,0.2607
delta,gemma12b,T1500_VERB,attribute,-1.21,-4.84,2.42,
interaction_vs_oss,gemma12b,T1500_VERB,attribute,-2.42,-8.47,3.23,0.4594
delta,llama31_8b,T1500_KV,all,4.2,0.4,8.0,
interaction_vs_oss,llama31_8b,T1500_KV,all,3.6,-1.2,8.4,0.15
delta,llama31_8b,T1500_KV,price,7.54,1.59,13.49,
interaction_vs_oss,llama31_8b,T1500_KV,price,10.32,2.78,17.86,0.0089
delta,llama31_8b,T1500_KV,attribute,0.81,-4.03,5.65,
interaction_vs_oss,llama31_8b,T1500_KV,attribute,-3.23,-8.87,2.42,0.3109
delta,llama31_8b,T1500_VERB,all,3.2,-0.8,7.2,
interaction_vs_oss,llama31_8b,T1500_VERB,all,5.0,-0.4,10.4,0.072
delta,llama31_8b,T1500_VERB,price,6.35,0.0,12.7,
interaction_vs_oss,llama31_8b,T1500_VERB,price,11.11,2.78,19.44,0.0073
delta,llama31_8b,T1500_VERB,attribute,0.0,-4.84,5.24,
interaction_vs_oss,llama31_8b,T1500_VERB,attribute,-1.21,-8.06,5.65,0.7674
delta,gemma4b,T1500_KV,all,-12.2,-16.4,-8.0,
interaction_vs_oss,gemma4b,T1500_KV,all,-12.8,-18.0,-7.8,0.0
delta,gemma4b,T1500_KV,price,-16.27,-22.62,-9.92,
interaction_vs_oss,gemma4b,T1500_KV,price,-13.49,-21.03,-5.95,0.0005
delta,gemma4b,T1500_KV,attribute,-8.06,-13.31,-2.82,
interaction_vs_oss,gemma4b,T1500_KV,attribute,-12.1,-18.55,-5.65,0.0006
delta,gemma4b,T1500_VERB,all,-14.0,-18.0,-10.2,
interaction_vs_oss,gemma4b,T1500_VERB,all,-12.2,-17.2,-7.2,0.0
delta,gemma4b,T1500_VERB,price,-13.49,-19.44,-7.54,
interaction_vs_oss,gemma4b,T1500_VERB,price,-8.73,-16.67,-1.19,0.0281
delta,gemma4b,T1500_VERB,attribute,-14.52,-19.76,-9.27,
interaction_vs_oss,gemma4b,T1500_VERB,attribute,-15.73,-22.18,-9.27,0.0
