index_name,scope,n,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,median_first_hit_rank,no_hit_at_10
T1500_DENSE,all,500,207,307,343,394,0.534467,1.0,106
T1500_DENSE,price,252,108,166,189,210,0.566134,1.0,42
T1500_DENSE,attribute,248,99,141,154,184,0.502288,1.0,64
R1500_DENSE,all,500,228,327,354,389,0.565908,1.0,111
R1500_DENSE,price,252,113,179,196,214,0.588654,1.0,38
R1500_DENSE,attribute,248,115,148,158,175,0.542795,1.0,73
T1500_HYBRID,all,500,272,373,410,435,0.65969,1.0,65
T1500_HYBRID,price,252,156,219,238,243,0.757209,1.0,9
T1500_HYBRID,attribute,248,116,154,172,192,0.560599,1.0,56
R1500_HYBRID,all,500,294,381,403,438,0.684374,1.0,62
R1500_HYBRID,price,252,171,219,228,241,0.779781,1.0,11
R1500_HYBRID,attribute,248,123,162,175,197,0.587428,1.0,51
