scope,comparison,metric,difference,ci95_low,ci95_high,bootstrap_n,seed
all,T1500_HTML vs T1500_KV,r5,-0.074,-0.118,-0.03,100000,20260807
all,T1500_HTML vs T1500_KV,mrr,-0.087704,-0.122087,-0.053845,100000,20260807
all,T1500_HTML vs T1500_VERB,r5,-0.25,-0.3,-0.202,100000,20260807
all,T1500_HTML vs T1500_VERB,mrr,-0.224507,-0.263474,-0.186098,100000,20260807
all,T1500_KV vs T1500_VERB,r5,-0.176,-0.216,-0.136,100000,20260807
all,T1500_KV vs T1500_VERB,mrr,-0.136803,-0.165137,-0.108918,100000,20260807
price,T1500_HTML vs T1500_KV,r5,-0.119048,-0.190476,-0.047619,100000,20260807
price,T1500_HTML vs T1500_KV,mrr,-0.118846,-0.175811,-0.062749,100000,20260807
price,T1500_HTML vs T1500_VERB,r5,-0.396825,-0.468254,-0.325397,100000,20260807
price,T1500_HTML vs T1500_VERB,mrr,-0.32686,-0.383277,-0.270466,100000,20260807
price,T1500_KV vs T1500_VERB,r5,-0.277778,-0.337302,-0.218254,100000,20260807
price,T1500_KV vs T1500_VERB,mrr,-0.208014,-0.246692,-0.170655,100000,20260807
attribute,T1500_HTML vs T1500_KV,r5,-0.028226,-0.076613,0.020161,100000,20260807
attribute,T1500_HTML vs T1500_KV,mrr,-0.05606,-0.094985,-0.018361,100000,20260807
attribute,T1500_HTML vs T1500_VERB,r5,-0.100806,-0.165323,-0.040323,100000,20260807
attribute,T1500_HTML vs T1500_VERB,mrr,-0.120504,-0.170653,-0.071451,100000,20260807
attribute,T1500_KV vs T1500_VERB,r5,-0.072581,-0.120968,-0.024194,100000,20260807
attribute,T1500_KV vs T1500_VERB,mrr,-0.064444,-0.104055,-0.026142,100000,20260807
