index_name,scope,n,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,median_first_hit_rank,no_hit_at_10
T1500_HYBRID,all,500,272,373,410,435,0.65969,1.0,65
T1500_HYBRID,price,252,156,219,238,243,0.757209,1.0,9
T1500_HYBRID,attribute,248,116,154,172,192,0.560599,1.0,56
R1500_HYBRID,all,500,294,381,403,438,0.684374,1.0,62
R1500_HYBRID,price,252,171,219,228,241,0.779781,1.0,11
R1500_HYBRID,attribute,248,123,162,175,197,0.587428,1.0,51
T1500_HTML_HYBRID,all,500,272,373,410,435,0.659435,1.0,65
T1500_HTML_HYBRID,price,252,155,219,238,242,0.755026,1.0,10
T1500_HTML_HYBRID,attribute,248,117,154,172,193,0.562302,1.0,55
R1500_RECURSIVE_HYBRID,all,500,294,381,403,438,0.684374,1.0,62
R1500_RECURSIVE_HYBRID,price,252,171,219,228,241,0.779781,1.0,11
R1500_RECURSIVE_HYBRID,attribute,248,123,162,175,197,0.587428,1.0,51
